,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,time_taken(min),distance
62,10059,33,4.9,Sandstorms,Low,1,Buffet,motorcycle,1,No,Urban,24,20002.52026
63,8975,30,4.8,Fog,Medium,0,Snack,motorcycle,1,No,Urban,27,20002.52026
64,3106,22,4.7,Windy,Medium,2,Drinks,motorcycle,1,No,Urban,27,20002.52026
65,2676,20,4.7,Fog,Medium,2,Snack,electric_scooter,0,No,Urban,10,20002.52026
66,38074,25,4.7,Sunny,Jam,2,Snack,motorcycle,0,No,Metropolitian,10,20002.52026
67,11444,25,4.9,Cloudy,Low,2,Snack,scooter,0,No,Urban,12,20002.52026
68,20024,34,4.7,Stormy,Jam,0,Drinks,motorcycle,2,No,Metropolitian,41,20002.52026
69,31288,21,4.7,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,20,20002.52026
70,39262,21,4.8,Windy,Jam,2,Meal,electric_scooter,0,No,Urban,12,20002.52026
71,25072,22,4.6,Windy,Jam,2,Snack,scooter,1,No,Metropolitian,26,20002.52026
72,45408,24,4.5,Cloudy,Low,1,Drinks,motorcycle,0,No,,16,20002.52026
73,15617,28,4.6,Stormy,Medium,2,Buffet,electric_scooter,1,No,Metropolitian,19,20002.52026
74,10089,27,5,Stormy,Jam,1,Meal,motorcycle,1,No,,23,20002.52026
75,14712,23,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1,No,Metropolitian,19,20002.52026
76,25253,22,4.5,Sandstorms,Medium,0,Meal,motorcycle,1,No,Metropolitian,25,20002.52026
77,24679,36,5,Sandstorms,Low,2,Meal,scooter,1,No,Urban,22,20002.52026
78,7724,35,5,Sandstorms,Jam,1,Meal,motorcycle,0,No,Metropolitian,34,20002.52026
79,1411,27,4.6,Fog,Low,0,Snack,motorcycle,1,No,Metropolitian,19,20002.52026
80,14736,37,4.8,Stormy,Medium,2,Drinks,motorcycle,1,No,Metropolitian,30,20002.52026
81,4639,33,4.7,Cloudy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,29,20002.52026
82,29786,33,4.9,Sunny,Jam,0,Buffet,motorcycle,1,No,Metropolitian,26,20002.52026
83,29314,30,5,Sunny,Jam,2,Buffet,scooter,1,No,Metropolitian,20,20002.52026
84,19384,22,4.9,Cloudy,Medium,0,Meal,motorcycle,1,No,Metropolitian,30,20002.52025
85,15107,,,,,3,Meal,electric_scooter,1,No,Metropolitian,33,20002.52025
86,43332,30,4.1,Sandstorms,Low,0,Drinks,motorcycle,0,No,Metropolitian,24,20002.52025
87,43139,36,4.9,Fog,Medium,1,Meal,motorcycle,1,No,Metropolitian,18,20002.52025
88,18326,33,4.8,Sunny,Low,1,Meal,scooter,1,No,Metropolitian,13,20002.52025
89,4526,30,4.8,Windy,Jam,2,Buffet,motorcycle,1,No,Urban,26,20002.52025
90,45247,22,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20002.52025
91,34931,34,4.7,Stormy,Low,0,Snack,motorcycle,0,No,Metropolitian,21,20002.52025
92,22896,31,4.6,Sandstorms,High,0,Meal,motorcycle,1,No,Metropolitian,36,20002.52025
93,32892,35,4.4,Fog,Medium,2,Snack,scooter,0,No,Metropolitian,37,20002.52025
94,19357,33,4.7,Cloudy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,41,20002.52025
95,13438,,,Sandstorms,High,2,Drinks,scooter,1,No,Metropolitian,32,20002.52025
96,44907,32,5,Cloudy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,42,20002.52025
97,14680,33,4.6,Sandstorms,Low,1,Drinks,scooter,0,No,Urban,20,20002.52025
98,8165,24,4.9,Cloudy,Jam,1,Snack,scooter,2,No,Metropolitian,37,20002.52025
99,15390,20,4.3,Sunny,High,0,Meal,motorcycle,0,No,Metropolitian,46,20002.52025
100,19628,35,4.8,Sunny,Low,2,Buffet,electric_scooter,0,No,Metropolitian,12,20002.52025
101,42694,28,4.3,Stormy,Low,0,Meal,motorcycle,1,No,Metropolitian,15,20002.52025
102,25562,26,4.7,Cloudy,Medium,0,Drinks,motorcycle,2,No,Metropolitian,35,20002.52025
103,11327,23,4.9,Cloudy,Jam,1,Buffet,scooter,0,No,Metropolitian,26,20002.52025
104,14606,31,4.9,Fog,Medium,0,Buffet,motorcycle,0,No,Urban,35,20002.52025
105,24157,29,4.5,Stormy,Jam,1,Snack,scooter,0,No,Urban,19,20002.52025
106,42378,,,Fog,High,1,Snack,motorcycle,1,No,Metropolitian,31,20002.52025
107,7152,39,4.6,Sunny,Jam,1,Snack,scooter,0,No,Metropolitian,20,20002.52025
108,28209,21,4.8,Cloudy,Low,2,Meal,scooter,1,No,Metropolitian,18,20002.52025
109,28762,26,4.9,Fog,Low,0,Snack,motorcycle,1,No,Metropolitian,23,20002.52025
110,24910,29,4.7,Sandstorms,High,1,Drinks,scooter,0,,Metropolitian,11,20002.52025
111,18869,34,4.5,Stormy,Low,0,Meal,motorcycle,1,No,Urban,26,20002.52025
112,24136,30,4.6,Sunny,Jam,1,Meal,motorcycle,0,No,Metropolitian,17,20002.52025
113,45284,34,4.8,Sunny,Jam,0,Meal,motorcycle,1,No,Metropolitian,20,20002.52025
114,31420,33,4.7,Fog,Low,0,Meal,motorcycle,1,No,Metropolitian,35,20002.52025
115,4202,23,4.8,Sunny,Jam,1,Drinks,scooter,1,No,Metropolitian,17,20002.52025
116,2239,33,4.3,Windy,Low,0,Buffet,motorcycle,0,No,Metropolitian,27,20002.52025
117,18841,23,4.6,Cloudy,Jam,1,Drinks,scooter,1,No,Metropolitian,32,20002.52025
118,14875,31,5,Windy,High,2,Meal,scooter,1,No,Metropolitian,28,20002.52025
119,1412,39,4.8,Cloudy,Medium,0,Snack,motorcycle,1,No,,34,20002.52025
120,37585,20,4.7,Windy,Medium,2,Snack,electric_scooter,1,No,Urban,19,20002.52025
121,20496,37,5,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.52025
122,6612,,,Stormy,Low,2,Snack,scooter,1,No,,14,20002.52025
123,36147,31,4.8,Sunny,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,27,20002.52025
124,5679,22,4.7,Sandstorms,Low,2,Meal,scooter,1,No,Metropolitian,18,20002.52025
125,3560,30,4.9,Windy,Low,2,Buffet,scooter,1,No,Metropolitian,25,20002.52025
126,6186,38,4.7,Windy,Low,0,Meal,motorcycle,0,No,Metropolitian,26,20002.52025
127,20082,34,4.1,Stormy,Jam,1,Buffet,scooter,0,No,Metropolitian,37,20002.52025
128,5878,34,3.5,Sunny,Jam,2,Buffet,scooter,1,No,Metropolitian,31,20002.52025
129,14518,28,4.8,Fog,Jam,1,Drinks,motorcycle,1,No,Metropolitian,40,20002.52025
130,4097,27,5,Sunny,Jam,2,Meal,scooter,0,No,Urban,16,20002.52025
131,25308,,,Fog,High,0,Drinks,motorcycle,1,No,Urban,28,20002.52025
132,36285,22,4.3,Fog,Jam,1,Meal,scooter,0,No,Metropolitian,42,20002.52025
133,26073,31,4.1,Cloudy,Jam,2,Drinks,motorcycle,1,No,Metropolitian,41,20002.52025
134,25577,35,5,Cloudy,High,2,Meal,electric_scooter,1,No,Metropolitian,28,20002.52025
135,43567,30,4.7,Sandstorms,High,2,Buffet,motorcycle,1,No,Urban,32,20002.52025
136,6871,35,4,Stormy,Medium,2,Drinks,electric_scooter,0,No,Metropolitian,32,20002.52025
137,21350,35,4.8,Fog,Jam,2,Meal,scooter,1,No,Metropolitian,38,20002.52025
138,8231,24,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,20002.52025
139,12969,36,4.5,Fog,Jam,0,Drinks,motorcycle,1,No,Metropolitian,49,20002.52025
140,3635,27,5,Windy,Low,0,Buffet,motorcycle,1,No,Urban,23,20002.52025
141,3096,39,4.8,Sandstorms,Medium,2,Snack,scooter,0,No,Metropolitian,27,20002.52025
142,24580,22,4,Stormy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,32,20002.52025
143,12617,39,4.4,Windy,Jam,0,Drinks,motorcycle,3,Yes,Metropolitian,54,20002.52025
144,29712,29,4.9,Stormy,Low,1,Snack,motorcycle,1,No,Urban,11,20002.52025
145,39750,39,4.1,Windy,Jam,2,Drinks,electric_scooter,1,No,Metropolitian,33,20002.52025
146,26814,34,4.6,Cloudy,Low,0,Snack,motorcycle,1,No,Metropolitian,29,20002.52025
147,40013,36,4.5,Sunny,High,2,Drinks,scooter,1,No,Urban,15,20002.52025
148,8450,35,4.9,Sunny,Jam,2,Snack,electric_scooter,0,No,Urban,19,20002.52025
149,32266,27,4.5,Sandstorms,Low,1,Drinks,scooter,0,No,Metropolitian,11,20002.52025
150,33278,29,2.6,Sunny,Low,2,Buffet,electric_scooter,1,No,Metropolitian,31,20002.52025
151,6914,,,Fog,Low,1,Buffet,motorcycle,1,No,Urban,30,20002.52025
152,39416,30,4.3,Stormy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,36,20002.52025
153,21502,23,5,Stormy,Low,1,Meal,motorcycle,1,No,Urban,17,20002.52025
154,45394,23,4.8,Cloudy,High,0,Drinks,motorcycle,1,No,Metropolitian,22,20002.52025
155,14447,32,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1,No,Metropolitian,29,20002.52025
156,4342,26,4.2,Stormy,Low,0,Buffet,motorcycle,1,No,Metropolitian,29,20002.52025
157,4998,25,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,20002.52025
158,20649,36,4.6,Sandstorms,High,1,Buffet,motorcycle,0,No,Metropolitian,30,20002.52025
159,6898,23,4.6,Sandstorms,Jam,2,Meal,motorcycle,0,No,Metropolitian,20,20002.52025
160,24184,24,4.6,Windy,Low,1,Drinks,scooter,1,No,Urban,16,20002.52025
161,10065,26,4.6,Stormy,Jam,2,Buffet,scooter,1,No,Metropolitian,23,20002.52025
162,35279,36,4.7,Stormy,Low,0,Buffet,motorcycle,1,No,Metropolitian,23,20002.52025
163,24015,31,5,Stormy,Jam,2,Snack,scooter,1,No,Metropolitian,34,20002.52025
164,21245,37,4.2,Cloudy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,34,20002.52025
165,26135,38,4.8,Cloudy,Low,1,Snack,scooter,1,No,Metropolitian,25,20002.52025
166,43882,26,4.6,Windy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,16,20002.52025
167,32614,20,4.9,Fog,Low,2,Meal,motorcycle,0,No,Urban,14,20002.52025
168,36548,26,4.9,Cloudy,Jam,0,Meal,motorcycle,2,No,Metropolitian,42,20002.52025
169,20166,35,4.4,Windy,Low,0,Drinks,motorcycle,0,No,Metropolitian,20,20002.52025
170,7722,34,4.4,Cloudy,High,1,Snack,scooter,1,No,Metropolitian,39,20002.52025
171,19293,22,4.9,Stormy,Medium,2,Buffet,electric_scooter,1,No,Metropolitian,20,20002.52025
172,1357,25,4.5,Sunny,Jam,2,Drinks,motorcycle,0,No,Metropolitian,11,20002.52025
173,21998,36,4.7,Sandstorms,Medium,2,Meal,scooter,0,No,Urban,28,20002.52025
174,2525,34,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2,Yes,Urban,41,20002.52025
175,13282,37,4.8,Sunny,Low,1,Meal,scooter,1,No,Urban,29,20002.52025
176,9027,26,4.8,Cloudy,Low,2,Buffet,scooter,1,No,Urban,16,20002.52025
177,35870,28,4.2,Sunny,Jam,0,Meal,motorcycle,3,No,Metropolitian,49,20002.52025
178,30633,25,4.7,Fog,Low,1,Buffet,motorcycle,0,,Metropolitian,10,20002.52025
179,39357,32,4.9,Sunny,Low,2,Snack,motorcycle,1,No,,17,20002.52025
180,18392,26,4.7,Cloudy,Medium,1,Drinks,motorcycle,1,No,Metropolitian,28,20002.52025
181,16993,37,4.9,Sandstorms,Low,1,Buffet,motorcycle,1,No,Urban,15,20002.52025
182,25285,31,4.7,Windy,Jam,0,Snack,motorcycle,0,No,Metropolitian,47,20002.52025
183,35185,27,4.7,Stormy,Jam,2,Drinks,scooter,1,No,Metropolitian,15,20002.52025
184,44949,39,4.8,Sunny,Jam,0,Drinks,motorcycle,1,No,Metropolitian,24,20002.52025
185,21046,28,4.9,Stormy,Low,2,Snack,scooter,0,No,Urban,15,20002.52025
186,37365,28,4.8,Cloudy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,33,20002.52025
187,43043,26,4.5,Cloudy,Jam,1,Snack,motorcycle,1,No,Metropolitian,26,20002.52025
188,28095,39,4.3,Sandstorms,Low,0,Buffet,motorcycle,0,No,,22,20002.52025
189,8133,26,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1,No,Urban,14,20002.52025
190,5306,30,3.7,Sandstorms,Jam,2,Meal,scooter,1,No,Metropolitian,33,20002.52025
191,2577,33,4.4,Cloudy,Jam,2,Snack,scooter,0,No,Metropolitian,48,20002.52025
192,41623,27,4.9,Stormy,Medium,1,Snack,scooter,1,No,Metropolitian,26,20002.52025
193,44466,37,4.9,Sandstorms,High,2,Snack,scooter,0,No,Metropolitian,26,20002.52025
194,7978,27,4.2,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,24,20002.52025
195,20794,39,4.8,Sandstorms,Medium,1,Drinks,scooter,0,No,Metropolitian,25,20002.52025
196,5421,28,4.4,Sandstorms,Low,0,Meal,motorcycle,1,No,Urban,15,20002.52025
197,14883,34,3.7,Fog,Low,1,Meal,motorcycle,2,No,Metropolitian,33,20002.52025
198,8982,31,4.6,Fog,Low,2,Snack,electric_scooter,1,No,Metropolitian,15,20002.52025
199,30634,38,4.9,Fog,Jam,1,Snack,motorcycle,0,No,Metropolitian,31,20002.52025
200,7409,34,4.8,Stormy,Low,2,Buffet,motorcycle,1,No,Metropolitian,23,20002.52025
201,12507,,,,,3,Snack,electric_scooter,2,No,Urban,40,20002.52025
202,251,,,Cloudy,Medium,1,Snack,scooter,1,No,Urban,19,20002.52025
203,35570,37,4.4,Sunny,Medium,0,Snack,motorcycle,1,No,Metropolitian,39,20002.52025
204,12083,28,4.9,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,15,20002.52025
205,36010,37,4.5,Fog,Jam,0,Meal,motorcycle,2,No,Metropolitian,51,20002.52025
206,4819,37,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1,No,Urban,29,20002.52025
207,34442,37,4.6,Windy,High,2,Snack,scooter,1,No,Metropolitian,25,20002.52025
208,19652,22,4.8,Stormy,Low,2,Meal,motorcycle,0,No,Metropolitian,19,20002.52025
209,20966,39,4.7,Cloudy,Low,0,Drinks,motorcycle,1,No,Metropolitian,21,20002.52025
210,26389,26,4.8,Windy,Low,2,Snack,scooter,0,No,Metropolitian,19,20002.52025
211,20417,35,4.3,Windy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,46,20002.52025
212,40484,30,4.8,Cloudy,Medium,0,Drinks,motorcycle,0,No,Metropolitian,27,20002.52025
213,35120,27,4.7,Fog,Medium,0,Buffet,motorcycle,1,No,Urban,28,20002.52025
214,8860,30,4.6,Stormy,Jam,0,Buffet,motorcycle,3,Yes,Metropolitian,54,20002.52025
215,26354,30,5,Fog,High,0,Snack,motorcycle,0,No,Metropolitian,27,20002.52025
216,32645,23,4.6,Fog,High,1,Buffet,motorcycle,2,No,Metropolitian,33,20002.52025
217,29368,32,4.7,Fog,Jam,1,Buffet,scooter,1,No,Metropolitian,29,20002.52025
218,31751,31,4.8,Cloudy,Low,1,Meal,motorcycle,1,No,Metropolitian,15,20002.52025
219,45051,32,4.7,Windy,Medium,1,Meal,motorcycle,0,No,Metropolitian,25,20002.52025
220,542,20,4.9,Stormy,Low,1,Meal,motorcycle,1,No,Urban,11,20002.52025
221,3852,24,4.8,Stormy,Medium,1,Snack,scooter,0,No,Urban,25,20002.52025
222,12033,37,4.5,Fog,Low,2,Meal,motorcycle,1,No,Metropolitian,16,20002.52025
223,6002,27,4.5,Stormy,Jam,1,Drinks,motorcycle,1,No,Metropolitian,15,20002.52025
224,5198,20,4.9,Stormy,Jam,1,Drinks,scooter,1,No,Metropolitian,22,20002.52025
225,27565,36,4.7,Fog,Jam,0,Buffet,motorcycle,1,Yes,Urban,45,20002.52025
226,39492,24,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,20002.52025
227,8354,28,4.6,Sandstorms,Low,2,Buffet,scooter,0,No,Urban,10,20002.52025
228,24393,32,4.7,Windy,Low,1,Snack,scooter,1,No,Metropolitian,26,20002.52025
229,39817,33,4.7,Cloudy,Low,0,Drinks,motorcycle,0,No,Metropolitian,24,20002.52025
230,25334,21,4.7,Cloudy,Jam,2,Buffet,scooter,1,No,Metropolitian,44,20002.52025
231,12423,38,4.7,Cloudy,Low,2,Drinks,motorcycle,1,No,Urban,28,20002.52025
232,20819,28,4.7,Windy,Jam,1,Drinks,scooter,1,No,Urban,26,20002.52025
233,42962,36,4.9,Sandstorms,Jam,0,Meal,motorcycle,1,No,Urban,36,20002.52025
234,26078,26,4.7,Fog,Jam,0,Meal,motorcycle,1,No,Metropolitian,27,20002.52025
235,45573,30,4.6,Cloudy,Low,0,Meal,motorcycle,0,No,Metropolitian,20,20002.52025
236,39774,23,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,20002.52025
237,39751,38,4.8,Sunny,Jam,0,Snack,motorcycle,1,No,Metropolitian,20,20002.52025
238,6326,33,4.7,Fog,Medium,2,Snack,motorcycle,0,No,Metropolitian,17,20002.52025
239,13413,28,4.9,Stormy,High,0,Meal,motorcycle,1,No,Urban,22,20002.52025
240,2917,28,4.8,Stormy,Low,2,Drinks,electric_scooter,1,No,Metropolitian,16,20002.52025
241,2229,22,4.9,Cloudy,Low,2,Meal,scooter,1,No,Metropolitian,22,20002.52025
242,22807,27,4.8,Cloudy,Low,0,Drinks,motorcycle,1,No,Metropolitian,21,20002.52025
243,16158,20,4.4,Fog,Jam,1,Meal,scooter,2,No,,32,20002.52025
244,7963,25,4.4,Stormy,Low,0,Meal,motorcycle,1,No,Metropolitian,23,20002.52025
245,26827,21,4.3,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,28,20002.52025
246,31905,29,5,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,20002.52025
247,20458,34,4.8,Cloudy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,42,20002.52025
248,39060,22,4.9,Cloudy,Low,0,Drinks,motorcycle,0,No,Metropolitian,21,20002.52025
249,42896,27,4.5,Cloudy,Medium,1,Snack,scooter,1,No,Urban,11,20002.52025
250,5654,26,4.8,Windy,Low,2,Drinks,electric_scooter,0,No,Metropolitian,18,20002.52025
251,3779,22,4.6,Fog,Jam,0,Snack,motorcycle,1,No,Metropolitian,35,20002.52025
252,25315,20,4.7,Sandstorms,Low,2,Meal,scooter,0,No,Metropolitian,17,20002.52025
253,3344,37,4.6,Windy,Jam,1,Snack,motorcycle,1,No,Metropolitian,32,20002.52025
254,31261,35,4,Stormy,High,0,Meal,motorcycle,1,No,Metropolitian,31,20002.52025
255,36612,39,4.6,Cloudy,Jam,0,Meal,motorcycle,2,Yes,Metropolitian,50,20002.52025
256,39753,25,4,Cloudy,Jam,1,Buffet,scooter,1,No,Metropolitian,33,20002.52025
257,28140,20,4.9,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,20,20002.52025
258,12967,30,4.8,Sunny,Low,1,Drinks,motorcycle,,No,Metropolitian,12,20002.52025
259,23480,25,4.8,Sunny,Low,1,Buffet,motorcycle,0,No,Urban,16,20002.52025
260,6633,24,4.9,Sunny,Medium,2,Drinks,scooter,0,No,Metropolitian,12,20002.52025
261,313,24,4.6,Windy,Medium,2,Snack,electric_scooter,0,No,Urban,24,20002.52025
262,26818,,,Stormy,Jam,2,Drinks,scooter,1,No,Metropolitian,26,20002.52025
263,44678,26,4.8,Sandstorms,Jam,0,Snack,motorcycle,1,No,Metropolitian,28,20002.52025
264,5961,30,4.5,Fog,Low,1,Drinks,motorcycle,1,No,Metropolitian,31,20002.52025
265,32223,26,5,Windy,Medium,2,Drinks,scooter,1,No,Metropolitian,24,20002.52025
266,40462,33,4.2,Cloudy,Jam,2,Meal,motorcycle,1,No,Metropolitian,39,20002.52025
267,13657,30,5,Stormy,Low,1,Meal,scooter,1,No,Metropolitian,24,20002.52025
268,4194,39,4.1,Stormy,Jam,2,Meal,scooter,3,Yes,Metropolitian,42,20002.52025
269,21270,36,4.9,Fog,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,41,20002.52025
270,4497,24,4.3,Stormy,High,0,Buffet,motorcycle,0,No,Metropolitian,37,20002.52025
271,23796,32,4.7,Windy,Low,0,Meal,motorcycle,1,No,Urban,29,20002.52025
272,10951,20,5,Sandstorms,Low,1,Snack,motorcycle,,No,Metropolitian,10,20002.52025
273,42673,22,5,Sunny,Jam,2,Snack,scooter,0,No,Metropolitian,17,20002.52025
274,13295,35,4.3,Stormy,Low,0,Meal,motorcycle,1,No,Urban,24,20002.52025
275,25715,37,4.6,Windy,Medium,0,Snack,motorcycle,0,No,Urban,29,20002.52025
276,38755,25,5,Stormy,Jam,2,Buffet,scooter,1,No,,20,20002.52025
277,4650,35,4.3,Stormy,High,0,Buffet,motorcycle,1,No,Metropolitian,36,20002.52025
278,8223,23,4.9,Cloudy,Low,1,Buffet,scooter,1,No,Urban,12,20002.52025
279,22887,35,4.6,Sunny,Jam,0,Buffet,motorcycle,1,No,Metropolitian,33,20002.52025
